"P6S2T2"	"P2S1T2"	"P3S1T3"	"P5S1T3"	"P6S2T3"	"P3S1T2"	"P1S2T3"	"P3S2T2"	"P5S2T1"	"P3S2T1"	"P2S1T1"	"P3S2T3"	"P5S2T2"	"P1S1T1"	"P4S1T3"	"P2S1T3"	"P4S1T1"	"P5S2T3"	"P1S1T2"	"P4S2T1"	"P2S2T1"	"P4S1T2"	"P6S1T2"	"P1S1T3"	"P4S2T3"	"P2S2T2"	"P4S2T2"	"P6S1T3"	"P1S2T1"	"P6S1T1"	"P2S2T3"	"P5S1T1"	"P6S2T1"	"P1S2T2"	"P3S1T1"	"P5S1T2"
"5270"	4085	4824	3801	4767	3767	4937	3869	3988	4360	4309	3666	3997	4128	4126	4617	4968	4489	4114	3901	4500	4411	4401	3783	4122	4396	4818	4960	4075	4702	3930	5194	4192	3924	4618	3875	4597
"76775"	2957	3983	3167	3829	2945	4119	3559	3676	3470	3686	3124	3642	3238	3293	3368	3748	3766	3262	3061	3761	3456	3454	3077	3546	3435	4011	3642	3433	3861	2749	3895	3234	3071	3474	3318	3559
"181124"	4663	3523	3654	7400	7630	4422	8046	6664	4553	4866	3245	8067	6409	5767	4682	3027	6011	5450	6398	7517	4063	6740	2869	10973	4377	4604	4450	2846	9142	2821	4434	4425	4418	5074	4594	5886
"456999"	3168	2620	2804	5870	4301	3169	4962	3673	3012	3049	2195	4500	4148	3640	3042	2327	3620	3974	4137	4250	2924	3671	2648	5771	3428	3403	3316	2368	5503	2339	3374	3474	3180	3922	2705	3819
"37769"	1731	1857	1778	2699	2048	2174	2361	2247	1856	1969	1427	2429	2197	2104	1888	1757	2209	2144	2152	2396	1920	2139	1823	2818	2079	1997	2088	1661	2648	1615	2044	1861	1815	2013	1798	2180
"5207"	1713	2018	1784	2138	1683	2236	2056	1987	1871	1979	1538	1998	2196	1786	1910	2075	2210	1872	1755	2131	1716	2016	1699	2071	2145	2022	2046	1763	2263	1563	1984	1761	1655	1993	1813	2082
"6035"	68	108	94	71	83	78	106	78	86	76	65	101	92	80	72	107	74	80	65	127	69	115	70	78	106	105	109	76	116	74	92	85	61	101	80	67
"58839"	81	103	104	113	95	136	101	73	92	121	57	111	87	78	78	109	98	61	76	94	94	76	99	82	102	105	88	91	113	75	92	109	63	79	88	117
"27973"	80	69	70	104	77	95	85	80	88	79	65	100	91	72	90	79	94	88	81	67	85	94	66	108	90	80	82	86	112	76	91	104	94	106	74	92
"571949"	55	57	27	44	68	37	54	53	35	52	30	41	43	38	42	41	51	42	58	50	42	54	47	39	53	49	42	53	84	57	47	43	41	39	34	51
